,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,0.3096760272979736,0.022824732185241788,0.17541046142578126,0.005253625015997948,20,2,2,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
17,0.29360413551330566,0.01635232190329136,0.1743922233581543,0.004851037979676806,,2,10,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
44,0.2687545299530029,0.01293545876479891,0.16743183135986328,0.0035757507824688136,10,2,10,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
14,0.3050676822662354,0.025942291439329457,0.18077783584594725,0.010847020626296588,,2,5,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
11,0.29701409339904783,0.015484856700579733,0.17600626945495607,0.009707504775288023,,2,2,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
71,0.2775103092193604,0.022023633713568306,0.17430434226989747,0.004043878431194875,20,2,10,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
68,0.31317648887634275,0.04233608625803927,0.17542195320129395,0.005319806934537487,20,2,5,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
38,0.2707351207733154,0.007638449672454828,0.1665803909301758,0.0023571363743383265,10,2,2,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
41,0.28589620590209963,0.019582526458458826,0.16870222091674805,0.0032897588547850967,10,2,5,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.5,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,42.727272727272734,0.05454545454545454,1
70,0.14999957084655763,0.018589731951876704,0.08640055656433106,0.0010201427728569316,20,2,10,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.5,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,40.90909090909091,0.05749595745760689,10
67,0.15040087699890137,0.01704212501649829,0.09100518226623536,0.0036260561309452402,20,2,5,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.5,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,40.90909090909091,0.05749595745760689,10
13,0.1470118522644043,0.012628327732811443,0.09658784866333008,0.01248799330436996,,2,5,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.5,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,40.90909090909091,0.05749595745760689,10
16,0.15320568084716796,0.010357303329983022,0.09334979057312012,0.005889350485994196,,2,10,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.5,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,40.90909090909091,0.05749595745760689,10
43,0.14065165519714357,0.007551066206227068,0.08511185646057129,0.0006767761561990182,10,2,10,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.5,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,40.90909090909091,0.05749595745760689,10
40,0.1485053539276123,0.016049261372605386,0.08661451339721679,0.004315043857057812,10,2,5,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.5,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,40.90909090909091,0.05749595745760689,10
